stockSymbol,stockName,dailyClose,volatility,avgVolume
APPF,"AppFolio, Inc.",92.09,53.316,"131,566"
APPN,Appian Corporation,35.37,55.086,"1,277,443"
APPS,"Digital Turbine, ...",4.26,72.889,"2,609,848"
APRE,Aprea Therapeutic...,35.63,22.417,"84,958"
APRN,Blue Apron Holdin...,24.2,468.451,"3,017,639"
APT,"Alpha Pro Tech, Ltd.",11.35,132.477,"6,646,364"
APTO,Aptose Bioscience...,5.16,81.916,"1,103,393"
APTS,Preferred Apartme...,7.49,58.354,"620,811"
APTV,Aptiv PLC,40.58,87.192,"2,073,541"
APTX,Aptinyx Inc.,2.05,83.189,"368,304"
APVO,Aptevo Therapeuti...,0.28,83.012,"1,120,947"
APWC,Asia Pacific Wire...,0.94,40.839,"16,878"
APXT,Apex Technology A...,9.27,10.119,"119,660"
APXTU,Apex Technology A...,9.99,8.887,"59,427"
APY,Apergy Corporation,3.45,214.878,"1,032,518"
APYX,Apyx Medical Corp...,3.84,75.064,"86,083"
AQB,AquaBounty Techno...,1.82,37.848,"184,833"
AQMS,"Aqua Metals, Inc.",0.39,96.363,"495,291"
AQN,Algonquin Power &...,11.98,50.366,"924,096"
AQNA,Algonquin Power &...,19.17,35.783,"29,439"
AQNB,Algonquin Power &...,17.04,53.851,"23,012"
AQST,Aquestive Therape...,1.76,126.164,"728,027"
AQUA,Evoqua Water Tech...,9.32,95.267,"1,092,846"
AR,Antero Resources ...,0.91,68.638,"14,109,921"
ARA,American Renal As...,8.28,27.436,"87,988"
ARAV,"Aravive, Inc.",3.8,125.963,"151,657"
ARAY,Accuray Incorporated,1.64,102.537,"751,528"
ARC,ARC Document Solu...,0.52,110.024,"157,478"
ARCB,ArcBest Corporation,19.71,34.058,"238,585"
ARCE,Arco Platform Lim...,43.39,46.974,"177,816"
ARCH,"Arch Coal, Inc.",33.91,64.569,"479,675"
ARCO,Arcos Dorados Hol...,3.29,90.087,"618,905"
ARCT,Arcturus Therapeu...,12.82,60.213,"151,975"
ARD,Ardagh Group S.A.,11.35,79.997,"99,666"
ARDS,Aridis Pharmaceut...,4.55,67.935,"13,504"
ARDX,"Ardelyx, Inc.",5.01,64.887,"825,980"
ARE,Alexandria Real E...,132,33.767,"982,258"
AREC,American Resource...,1,99.027,"107,882"
ARES,Ares Management,25.6,49.084,"759,324"
AREX,Approach Resource...,0.08,47.764,"822,076"
ARGD,Argo Group Intern...,16.6,56.728,"11,236"
ARGO,Argo Group Intern...,32.27,92.514,"192,440"
ARGX,argenx SE,121,48.196,"174,243"
ARI,Apollo Commercial...,7.59,100.283,"1,877,968"
ARKR,Ark Restaurants C...,8.5,108.64,"3,102"
ARL,American Realty I...,6.81,83.625,"2,172"
ARLO,Arlo Technologies...,1.9,105.485,"902,822"
ARLP,Alliance Resource...,5.4,84.43,"950,809"
ARMK,ARAMARK Holdings ...,18.27,115.57,"3,608,276"
ARMP,Armata Pharmaceut...,2.75,52.999,"262,625"
ARNA,Arena Pharmaceuti...,38.67,42.484,"616,341"
ARNC,Arconic Inc.,15.85,91.698,"4,867,035"
AROC,"Archrock, Inc.",3.49,128.353,"1,160,761"
AROW,Arrow Financial C...,27.79,39.063,"28,194"
ARPO,Aerpio Pharmaceut...,0.45,48.126,"280,668"
ARQT,Arcutis Biotherap...,25.23,52.831,"212,047"
ARR,ARMOUR Residentia...,6.66,104.294,"1,094,539"
ARTL,Artelo Bioscience...,0.67,95.434,"263,782"
ARTNA,Artesian Resource...,35.18,15.182,"19,157"
ARTW,Art's-Way Manufac...,1.83,24.466,"77,723"
ARTX,Arotech Corporation,2.99,0.743,"134,736"
ARVN,"Arvinas, Inc.",41.16,44.153,"336,188"
ARW,Arrow Electronics...,44.76,65.421,"671,109"
ARWR,Arrowhead Researc...,26,72.041,"1,811,365"
ARYA,ARYA Sciences Acq...,10.15,11.22,"31,770"
ARYAU,ARYA Sciences Acq...,11.2,8.84,"7,466"
ASA,ASA Gold and Pre...,9.12,62.771,"141,426"
ASB,Associated Banc-Corp,11.98,65.45,"1,518,156"
ASC,Ardmore Shipping ...,4.51,36.78,"400,453"
ASGN,"On Assignment, Inc.",36.94,77.34,"383,048"
ASH,Ashland Inc.,45.49,75.11,"645,954"
ASIX,AdvanSix Inc.,13.11,72.523,"335,469"
ASLN,ASLAN Pharmaceuti...,0.93,97.091,"312,289"
ASM,Avino Silver & Go...,0.31,78.369,"410,182"
ASMB,Assembly Bioscien...,13.61,77.915,"286,100"
ASML,ASML Holding N.V.,214.03,43.112,"1,131,781"
ASNA,Ascena Retail Gro...,1.6,165.369,"386,564"
ASND,Ascendis Pharma A/S,101.04,46.667,"172,018"
ASPN,"Aspen Aerogels, Inc.",5.13,75.605,"138,323"
ASPS,Altisource Portfo...,9.03,133.644,"102,199"
ASPU,Aspen Group Inc.,6.5,84.73,"203,205"
ASR,Grupo Aeroportuar...,89.34,74.175,"53,873"
ASRT,Assertio Therapeu...,0.7,79.124,"1,945,664"
ASRV,AmeriServ Financi...,3.01,35.779,"25,500"
ASRVP,AmeriServ Financi...,24.88,21.117,"1,150"
ASTC,Astrotech Corpora...,1.13,58.387,"26,111"
ASTE,"Astec Industries,...",30.07,61.304,"114,307"
ASUR,Asure Software Inc,5.9,72.048,"96,314"
ASX,Advanced Semicond...,3.32,44.23,"764,599"
ASYS,"Amtech Systems, Inc.",3.84,48.742,"93,433"
AT,Atlantic Power Co...,1.77,43.26,"423,123"
