"Stock","stock5yrMeans","Year","YearMeanValue","Direction5yr10PercentChange","nTimesDecr10_5yr","nTimesIncr10_5yr","nTimesDecrFromZero_5yrs","nTimesIncrFromZero_5yrs"
"TGT.Close",82.904471348242,2019,91.8574603690476,"up10",1,3,1,NA
"TGT.Close",82.904471348242,2020,118.947619571429,"up10",1,3,1,NA
"TJX.Close",45.2872698382159,2015,34.4945635912698,"",NA,3,1,1
"TJX.Close",45.2872698382159,2016,37.8634127698413,"up",NA,3,1,1
"TJX.Close",45.2872698382159,2017,37.0224502749004,"down",NA,3,1,1
"TJX.Close",45.2872698382159,2018,46.3794621075697,"up10",NA,3,1,1
"TJX.Close",45.2872698382159,2019,54.2103969047619,"up10",NA,3,1,1
"TJX.Close",45.2872698382159,2020,61.7533333809524,"up10",NA,3,1,1
"TM.Close",125.531297267515,2015,130.025079650794,"",1,1,NA,3
"TM.Close",125.531297267515,2016,111.024999793651,"down10",1,1,NA,3
"TM.Close",125.531297267515,2017,114.916414326693,"up",1,1,NA,3
"TM.Close",125.531297267515,2018,127.655179155378,"up10",1,1,NA,3
"TM.Close",125.531297267515,2019,128.51992072619,"up",1,1,NA,3
"TM.Close",125.531297267515,2020,141.046189952381,"up",1,1,NA,3
"UBSI.Close",37.6227410947822,2015,38.4132936706349,"",NA,NA,3,2
"UBSI.Close",37.6227410947822,2016,38.4114285793651,"down",NA,NA,3,2
"UBSI.Close",37.6227410947822,2017,38.7286852868526,"up",NA,NA,3,2
"UBSI.Close",37.6227410947822,2018,35.9159760239044,"down",NA,NA,3,2
"UBSI.Close",37.6227410947822,2019,37.3213490555556,"up",NA,NA,3,2
"UBSI.Close",37.6227410947822,2020,36.945713952381,"down",NA,NA,3,2
"VZ.Close",52.7978111684321,2015,47.1702380714286,"",NA,1,1,3
"VZ.Close",52.7978111684321,2016,51.4048015912698,"up",NA,1,1,3
"VZ.Close",52.7978111684321,2017,48.2367329721116,"down",NA,1,1,3
"VZ.Close",52.7978111684321,2018,52.0838246972112,"up",NA,1,1,3
"VZ.Close",52.7978111684321,2019,58.0584127738095,"up10",NA,1,1,3
"VZ.Close",52.7978111684321,2020,59.8328569047619,"up",NA,1,1,3
"WFC.Close",52.1354323993813,2015,54.775555484127,"",2,1,NA,2
